id,name,start,end,reason
300,Olomouc hl.n. - Bohumín,20111002180500,20111002222000,následky srážky vlaku s osobou
300,Kojetín - Chropyně,20111003092500,20111003113000,následky srážky vlaku s osobou
300,Kojetín - Chropyně,20111003091500,20111003120000,následky srážky vlaku s osobou
317,D.Benešov - Hlučín,20111003114600,20111003150000,následky srážky vlaku s osobou
80,Bezděz - Č.Lípa hl.n.,20111003130000,20111003143900,následky srážky vlaku s osobou
141,Karlovy Vary - Merklín,20111006191000,20111006220000,následky srážky vlaku s osobou
140,Karlovy Vary - Merklín,20111006191000,20111006220000,následky srážky vlaku s osobou
90,Děčín hl.n. - Povrly,20111007114600,20111007133000,následky srážky vlaku s osobou
318,Kravaře ve Sl. - Chuchelná,20111008035000,20111008070000,následky srážky vlaku s osobou
317,Kravaře ve Sl. - Chuchelná,20111008035000,20111008070000,následky srážky vlaku s osobou
89,Liberec - Hrádek n.N.,20111009154800,20111009180000,následky srážky vlaku s osobou
91,Libčice n.Vlt. - Kralupy n.Vlt.,20111010182800,20111010220000,následky srážky vlaku s osobou
183,Plzeň hl.n. - Plzeň-Valcha,20111011045600,20111011083000,následky srážky vlaku s osobou
44,Kunčice n.L. - Vrchlabí,20111012105200,20111012135200,následky srážky vlaku s osobou
190,Ždírec u Plzně - Nepomuk,20111012184900,20111012205000,následky srážky vlaku s osobou
171,Řevnice - Zadní Třebaň,20111016045500,20111016082500,následky srážky vlaku s osobou
226,Č.Velenice - Třeboň,20111016081800,20111016110000,následky srážky vlaku s osobou
232,Lysá n.L. - Milovice,20111017155900,20111017190000,následky srážky vlaku s osobou
72,Lysá n.L. - Milovice,20111017155900,20111017190000,následky srážky vlaku s osobou
231,Lysá n.L. - Milovice,20111017155900,20111017190000,následky srážky vlaku s osobou
171,Praha-Smíchov - Praha-Radotín,20111018202500,20111018233000,následky srážky vlaku s osobou
238,Ždírec n.Doubr. - Havlíčkův Brod,20111019114000,20111019144500,následky srážky vlaku s osobou
330,Říkovice - Hulín,20111020132500,20111020153000,následky srážky vlaku s osobou
270,Drahotuše - Lipník n.Beč.,20111020141700,20111020170000,následky srážky vlaku s osobou
