"201, 200"	"Putim - Písek"	"17.04.2011 20:00"	"17.04.2011 22:30"	"následky srážky vlaku s osobou"	
320	"Dětmarovice - Karviná hl.n."	"18.04.2011 16:00"	"18.04.2011 18:40"	"následky srážky vlaku s osobou"	
"321, 320"	"Chotěbuz - Č.Těšín"	"18.04.2011 22:37"	"19.04.2011 01:59"	"následky srážky vlaku s osobou"	
270	"Prosenice - Přerov"	"19.04.2011 19:50"	"19.04.2011 21:50"	"následky srážky vlaku s osobou"	
221	"Praha-Hostivař - Praha-Uhříněves"	"20.04.2011 18:30"	"20.04.2011 21:30"	"následky srážky vlaku s osobou"	
80	"Bakov n.Jiz. - Bělá p.Bezdězem"	"21.04.2011 14:30"	"21.04.2011 16:30"	"následky srážky vlaku s osobou"	
40	"Lázně Bělohrad - N.Paka"	"21.04.2011 16:00"	"21.04.2011 20:00"	"následky srážky vlaku s osobou"	
260	"Rájec-Jestřebí - Rájec-Jestřebí"	"21.04.2011 21:55"	"22.04.2011 01:00"	"následky srážky vlaku s osobou"	
280	"Valašské Meziříčí - Valašské Meziříčí"	"22.04.2011 13:13"	"22.04.2011 16:00"	"následky srážky vlaku s osobou"	
0		"22.04.2011 14:00"	"22.04.2011 17:00"	"následky srážky vlaku s osobou"	
10	"Pardubice hl.n. - Kostěnice"	"22.04.2011 14:00"	"22.04.2011 17:00"	"následky srážky vlaku s osobou"	
240	"Brno-H.Heršpice - Troubsko"	"26.04.2011 15:50"	"26.04.2011 18:30"	"následky srážky vlaku s osobou"	
321	"Havířov - Ostrava-Bartovice"	"27.04.2011 04:50"	"27.04.2011 07:50"	"následky srážky vlaku s osobou"	
321	"Ostrava-Bartovice - Havířov"	"27.04.2011 04:50"	"27.04.2011 07:00"	"následky srážky vlaku s osobou"	
72	"Liběchov - Mělník"	"27.04.2011 17:40"	"27.04.2011 20:50"	"následky srážky vlaku s osobou"	
36	"Vesec u Liberce - Jablonec n.N."	"28.04.2011 09:24"	"28.04.2011 11:24"	"následky srážky vlaku s osobou"	
321	"Ostrava-Bartovice - Havířov"	"28.04.2011 14:55"	"28.04.2011 17:30"	"následky srážky vlaku s osobou"	
276	"Suchdol n.O. - Odry"	"03.05.2011 06:55"	"03.05.2011 09:10"	"následky srážky vlaku s osobou"	
330	"Otrokovice - Tlumačov"	"05.05.2011 11:50"	"05.05.2011 15:00"	"následky srážky vlaku s osobou"	
321	"Havířov - Havířov"	"04.05.2011 08:00"	"04.05.2011 11:00"	"následky srážky vlaku s osobou"	
130	"Chomutov - Třebušice"	"06.05.2011 04:50"	"06.05.2011 06:50"	"následky srážky vlaku s osobou"	
90	"D.Beřkovice - Vraňany"	"06.05.2011 20:10"	"06.05.2011 22:30"	"následky srážky vlaku s osobou"	
301	"Prostějov hl.n. - Nezamyslice"	"07.05.2011 21:30"	"07.05.2011 23:30"	"následky srážky vlaku s osobou"	
250	"Modřice - Hrušovany u Brna"	"09.05.2011 06:45"	"09.05.2011 09:45"	"následky srážky vlaku s osobou"	
340	"Nesovice - Nemotice"	"10.05.2011 07:30"	"10.05.2011 10:30"	"následky srážky vlaku s osobou"	
270	"Suchdol n.O. - Polom"	"10.05.2011 19:30"	"10.05.2011 21:30"	"následky srážky vlaku s osobou"	
90	"Ústí n.L.hl.n.sever - Prackovice n.L."	"11.05.2011 18:10"	"11.05.2011 20:20"	"následky srážky vlaku s osobou"	
11	"Velim - Kolín"	"13.05.2011 22:05"	"14.05.2011 01:30"	"následky srážky vlaku s osobou"	
"024, 010"	"Ústí n.Orl. - Lichkov"	"14.05.2011 09:25"	"14.05.2011 12:00"	"následky srážky vlaku s osobou"	
90	"Děčín hl.n. - Ústí n.L.hl.n.sever"	"18.05.2011 05:45"	"18.05.2011 07:30"	"následky srážky vlaku s osobou"	
10	"Pardubice hl.n. - Kostěnice"	"25.05.2011 20:44"	"25.05.2011 23:00"	"následky srážky vlaku s osobou"	
170	"Mar.Lázně - Lázně Kynžvart"	"27.05.2011 02:30"	"27.05.2011 05:00"	"následky srážky vlaku s osobou"	
271	"Kostelec na H. - Prostějov hl.n."	"27.05.2011 20:55"	"27.05.2011 23:59"	"následky srážky vlaku s osobou"	
330	"Hodonín - Rohatec"	"28.05.2011 15:11"	"28.05.2011 17:30"	"následky srážky vlaku s osobou"	
